,date,country,confirmed,recovered,deaths
558,2021-01-03,Turkey,2241912,2136534,21488
559,2021-01-03,US,20698122,0,351653
560,2021-01-03,Uganda,35922,12037,274
561,2021-01-03,Ukraine,1107137,755810,19630
562,2021-01-03,United Arab Emirates,213231,189709,679
563,2021-01-03,United Kingdom,2662699,6094,75137
564,2021-01-03,Uruguay,20823,15125,204
565,2021-01-03,Uzbekistan,77258,75437,614
566,2021-01-03,Vanuatu,1,1,0
567,2021-01-03,Venezuela,114230,108268,1034
568,2021-01-03,Vietnam,1494,1339,35
569,2021-01-03,West Bank and Gaza,141219,121563,1470
570,2021-01-03,Yemen,2101,1399,610
571,2021-01-03,Zambia,21582,19083,394
572,2021-01-03,Zimbabwe,15265,11574,380
573,2021-01-04,Afghanistan,53011,42530,2237
574,2021-01-04,Albania,59623,34996,1199
575,2021-01-04,Algeria,100645,67999,2777
576,2021-01-04,Andorra,8249,7548,84
577,2021-01-04,Angola,17684,11266,408
578,2021-01-04,Antigua and Barbuda,160,148,5
579,2021-01-04,Argentina,1648940,1458083,43634
580,2021-01-04,Armenia,160220,144831,2864
581,2021-01-04,Australia,28517,25786,909
582,2021-01-04,Austria,367410,340273,6357
583,2021-01-04,Azerbaijan,220599,196734,2761
584,2021-01-04,Bahamas,7924,6239,175
585,2021-01-04,Bahrain,93766,90995,352
586,2021-01-04,Bangladesh,516929,461515,7650
587,2021-01-04,Barbados,606,324,7
588,2021-01-04,Belarus,201831,183625,1461
589,2021-01-04,Belgium,650887,0,19750
590,2021-01-04,Belize,10938,10095,257
591,2021-01-04,Benin,3251,3061,44
592,2021-01-04,Bhutan,734,453,0
593,2021-01-04,Bolivia,163671,133671,9219
594,2021-01-04,Bosnia and Herzegovina,112645,77891,4131
595,2021-01-04,Botswana,15368,12481,45
596,2021-01-04,Brazil,7753752,6950045,196561
597,2021-01-04,Brunei,172,149,3
598,2021-01-04,Bulgaria,204080,124624,7835
599,2021-01-04,Burkina Faso,7126,5300,86
600,2021-01-04,Burma,126935,110200,2744
601,2021-01-04,Burundi,842,687,2
